date,close,volume,open,high,low
'2019/04/15',183.0700,14610190.0000,188.0600,188.1700,182.5600
'2019/04/12',188.9100,12561090.0000,187.7100,189.7900,187.1400
'2019/04/11',184.9800,8848863.0000,185.1500,186.0600,183.7500
'2019/04/10',186.1900,10650950.0000,186.6900,187.4000,184.0000
'2019/04/09',187.1900,11571350.0000,186.4900,187.8900,186.1600
'2019/04/08',186.5000,14715210.0000,184.1900,187.8200,184.0100
'2019/04/05',185.3500,18690730.0000,182.5100,185.5000,182.0000
'2019/04/04',181.0700,16988950.0000,177.0400,181.9600,176.8900
'2019/04/03',178.3200,26806500.0000,179.5100,180.7000,176.7600
'2019/04/02',181.7400,7802597.0000,181.4600,183.5627,180.9500
'2019/04/01',180.8900,12700610.0000,185.0900,185.5600,180.8900
'2019/03/29',182.4500,13839900.0000,180.7300,182.6000,179.0000
'2019/03/28',177.7300,7225447.0000,177.4700,178.5300,175.9700
'2019/03/27',177.0300,8363301.0000,177.7000,179.8300,176.9125
'2019/03/26',178.0800,7750467.0000,179.7000,180.6500,177.0950
'2019/03/25',178.7700,7489573.0000,174.3300,178.9000,174.1000
'2019/03/22',176.2600,11669970.0000,179.7700,180.4800,175.3362
'2019/03/21',181.5000,9726780.0000,178.9500,181.7300,178.5200
'2019/03/20',181.2800,15891540.0000,180.9400,181.9500,178.4300
'2019/03/19',182.1400,9750742.0000,181.6300,183.3600,180.8500
'2019/03/18',181.8300,7828454.0000,181.9300,182.8900,180.7600
'2019/03/15',180.9700,10815920.0000,180.6600,181.4500,179.6600
'2019/03/14',180.3600,9264161.0000,179.0600,180.8200,178.0100
'2019/03/13',180.7000,8733055.0000,180.7300,182.5350,179.2600
'2019/03/12',180.6300,8654447.0000,182.0400,182.1800,179.5100
'2019/03/11',180.4100,13742250.0000,177.8300,181.7200,177.5800
'2019/03/08',175.0300,14664220.0000,171.5650,175.3500,171.5650
'2019/03/07',177.3200,16464060.0000,180.9100,181.8000,176.7300
'2019/03/06',184.1700,10001170.0000,184.3800,185.5900,183.0200
'2019/03/05',185.0000,11494680.0000,186.9400,188.0800,185.0000
'2019/03/04',187.2500,14736020.0000,186.0000,187.3400,184.4600
'2019/03/01',183.8800,14284680.0000,185.0900,186.9000,183.3800
'2019/02/28',183.0300,12348160.0000,183.0100,184.3000,181.4700
'2019/02/27',184.5800,16727160.0000,181.7200,184.9300,180.8800
'2019/02/26',183.5400,13853070.0000,179.7900,184.3500,179.3700
'2019/02/25',183.2500,22759390.0000,181.2600,183.7200,180.7300
'2019/02/22',176.9200,16161830.0000,172.8000,177.0200,172.5200
'2019/02/21',171.6600,8419851.0000,171.0000,171.7800,169.8000
'2019/02/20',170.7100,12447060.0000,171.0000,172.6800,170.6100
'2019/02/19',170.1800,12968380.0000,166.9800,171.1500,166.5000
'2019/02/15',166.1500,11983190.0000,168.6100,168.7700,165.4100
'2019/02/14',168.3800,8710486.0000,167.6400,168.5000,166.6100
'2019/02/13',169.4000,8643489.0000,169.9100,171.0500,168.9900
'2019/02/12',168.7100,8577821.0000,169.6000,170.4900,168.6100
'2019/02/11',167.4500,7234323.0000,168.8500,170.3300,167.4500
'2019/02/08',167.3600,8325668.0000,163.8300,167.6500,163.7500
'2019/02/07',166.9600,11874190.0000,169.1600,169.6100,164.3360
'2019/02/06',171.5200,11263040.0000,171.8600,173.0900,169.9900
'2019/02/05',171.8300,12737790.0000,168.5500,171.9500,168.0000
'2019/02/04',166.7000,7373118.0000,166.3200,167.5500,165.6100
'2019/02/01',167.9700,10766660.0000,168.0000,169.4000,167.6300
'2019/01/31',168.4900,21195890.0000,167.8000,169.7300,165.7000
'2019/01/30',166.8200,36958510.0000,161.2900,167.8400,160.5000
'2019/01/29',156.8800,18302160.0000,159.0400,160.3746,155.9200
'2019/01/28',158.9200,10128660.0000,157.8000,159.6900,155.3000
