发布日期,岗位名称,薪酬low,薪酬high,几薪,工作城市,城市2,城市3,地区,学历,工作年限,公司名称,公司行业,其他方面,链接
2019年12月15日,招聘数据统计,6,8,12,北京,,,,大专及以上,1年以上,一指遥(北京)科技发展有限公司常营分公司,批发零售,带薪年假|节日礼物|管理规范|技能培训|岗位晋升|团队聚餐|发展空间大|五险,https://www.liepin.com/job/1925149377.shtml
2019年12月15日,招聘数据分析岗（商业总部）,13,26,12,深圳,,,,本科及以上,3年以上,房产开发,房产开发,绩效奖金|带薪年假|午餐补助|定期体检|节日礼物|管理规范|技能培训|五险一金|上市公司,https://www.liepin.com/job/1925004989.shtml
2019年12月15日,招聘资深数据分析师,9,14,14,上海,,,静安区,本科及以上,3年以上,贝塔斯曼,专业服务,年底双薪|带薪年假|定期体检|年度旅游|节日礼物|五险一金|发展空间大,https://www.liepin.com/job/1925072231.shtml
2019年12月19日,招聘数据分析师,10,15,14,上海,,,,本科及以上,3年以上,贝塔斯曼,专业服务,绩效奖金|带薪年假|定期体检|领导好|岗位晋升|五险一金|发展空间大|公司规模大|节日礼物|团队聚餐,https://www.liepin.com/job/1925089569.shtml
2019年12月19日,招聘金融业务数据分析师,12,30,12,北京,,,,硕士及以上,2年以上,北京瑞泰格科技有限公司,天使轮,年底双薪|股票期权|绩效奖金|带薪年假|定期体检|弹性工作|岗位晋升|五险一金|团队聚餐|发展空间大,https://www.liepin.com/job/1922995323.shtml
2019年12月20日,招聘高级量化策略开发员/数据分析师 (职位编号：QT001),12,20,12,上海,,,五里桥,统招本科,经验不限,上海靖奇投资管理有限公司,未融资,绩效奖金|带薪年假|午餐补助|节日礼物|扁平管理|五险一金|团队聚餐|休闲餐点|领导好,https://www.liepin.com/job/1924812911.shtml
2019年12月19日,招聘Fund Data Research Analyst/基金数据分析员,5,7,12,深圳,,,,统招本科,经验不限,晨星资讯,基金证券投资,发展空间大|年底双薪|带薪年假|定期体检|管理规范|股票期权|领导好|扁平管理|岗位晋升|五险一金,https://www.liepin.com/job/1922431141.shtml
2019年12月20日,招聘信用卡处数据科技与财务管理部 数据分析师,面议,,,上海,,,陆家嘴,本科及以上,5年以上,银行,银行,年底双薪|绩效奖金|带薪年假|五险一金|子女福利,https://www.liepin.com/job/1925428391.shtml
2019年12月20日,招聘数据分析师,面议,,,,,,,本科及以上,5年以上,万仕道(北京)管理咨询有限公司,轮,带薪年假|技能培训|岗位晋升|五险一金|团队聚餐,https://www.liepin.com/job/1925421967.shtml
2019年12月20日,招聘商业数据分析师（产品方向）,面议,,,北京,,,,本科及以上,3年以上,万仕道(北京)管理咨询有限公司,轮,绩效奖金|带薪年假|弹性工作|节日礼物|扁平管理|岗位晋升|五险一金|团队聚餐|上市公司|公司规模大,https://www.liepin.com/job/1925416035.shtml
