小区,地区,厅,面积,单位,方向,状态,层,build-year,形式,钱,单位,网址,推荐语
怡清园 ,清河,2室1厅 ,114.49,平米, 南 , 其他 , 中楼层(共6层) , 2003年建 , 板楼,660,万,https://bj.lianjia.com/ershoufang/101106426870.html,怡清园 2室1厅 660万
兴隆都市馨园 ,崇文门,2室1厅 ,67.71,平米, 南 北 , 其他 , 底层(共7层) , 2003年建 , 板塔结合,650,万,https://bj.lianjia.com/ershoufang/101106426797.html,兴隆都市馨园 2室1厅 650万
时尚街区东区 ,梨园,1室0厅 ,64.98,平米, 南 , 精装 , 低楼层(共19层) , 2007年建 , 塔楼,292,万,https://bj.lianjia.com/ershoufang/101106426706.html,满五年唯一，中间楼层，采光充足，产权清晰
圆明园东里 ,五道口,1室1厅 ,42.5,平米, 南 , 精装 , 中楼层(共5层) , 1993年建 , 板楼,408,万,https://bj.lianjia.com/ershoufang/101106426637.html,圆明园东里 1室1厅 408万
首创紫悦台 ,良乡,3室1厅 ,95.01,平米, 北 南 , 精装 , 顶层(共12层) ,  , 暂无数据,410,万,https://bj.lianjia.com/ershoufang/101106426195.html,紫悦台 南北通透三居室 带电梯 新风系统
天畅园 ,奥林匹克公园,2室1厅 ,85.49,平米, 东北 , 其他 , 中楼层(共32层) , 2008年建 , 塔楼,419,万,https://bj.lianjia.com/ershoufang/101106426105.html,近地铁 临奥森公园  天畅园正规两居室
鲁能7号院颐景溪园 ,马坡,2室1厅 ,85.81,平米, 南 , 其他 , 低楼层(共16层) , 2013年建 , 板楼,335,万,https://bj.lianjia.com/ershoufang/101106425677.html,鲁能7号院颐景溪园 2室1厅 335万
天通苑东一区 ,天通苑,3室1厅 ,146.53,平米, 西北 , 其他 , 中楼层(共33层) , 2002年建 , 塔楼,580,万,https://bj.lianjia.com/ershoufang/101106425439.html,：商满五唯一 电梯大三居 精装修 对面公园视野开阔
重聚园 ,鲁谷,2室1厅 ,88.53,平米, 南 北 , 其他 , 中楼层(共5层) , 2007年建 , 板楼,510,万,https://bj.lianjia.com/ershoufang/101106425387.html,重聚园 2室1厅 510万
大钟寺甲133号院 ,皂君庙,2室1厅 ,54.4,平米, 南 , 其他 , 底层(共6层) , 1985年建 , 板楼,560,万,https://bj.lianjia.com/ershoufang/101106424875.html,大钟寺甲133号院 2室1厅 560万
京通苑 ,管庄,3室2厅 ,94.37,平米, 东 西 北 , 简装 , 高楼层(共6层) , 1996年建 , 板楼,398,万,https://bj.lianjia.com/ershoufang/101106424602.html,京通苑东西通透三居室 原值高无个税 看房随时
垡头西里 ,垡头,2室1厅 ,44.87,平米, 南 北 , 其他 , 中楼层(共4层) , 1980年建 , 板楼,260,万,https://bj.lianjia.com/ershoufang/101106423831.html,垡头西里 2室1厅 260万
兴化西里 ,和平里,2室1厅 ,57.45,平米, 北 南 , 其他 , 顶层(共5层) , 1976年建 , 板楼,508,万,https://bj.lianjia.com/ershoufang/101106423774.html,兴化西里 2室1厅 508万
天慧园 ,回龙观,2室1厅 ,87.87,平米, 南 北 , 精装 , 中楼层(共7层) , 2000年建 , 板楼,443,万,https://bj.lianjia.com/ershoufang/101106423669.html,天慧园 商品房小区 南北两居户型 中间楼层 精装修
六营门小区 ,旧宫,2室1厅 ,60.4,平米, 南 北 , 简装 , 低楼层(共6层) , 1985年建 , 板楼,363,万,https://bj.lianjia.com/ershoufang/101106423554.html,六营门小区 2室1厅 363万
北洼路28号院 ,紫竹桥,3室2厅 ,112.85,平米, 西北 , 其他 , 高楼层(共18层) , 1996年建 , 塔楼,790,万,https://bj.lianjia.com/ershoufang/101106423493.html,北洼路28号院 3室2厅 790万
港湾国际 ,工体,1室0厅 ,39.08,平米, 南 , 精装 , 低楼层(共16层) , 2005年建 , 塔楼,325,万,https://bj.lianjia.com/ershoufang/101106423486.html,低总价，精装修，带电梯，满五年业主名下就这一套房
农光里 ,劲松,2室1厅 ,65.22,平米, 东南 , 简装 , 高楼层(共24层) , 1996年建 , 塔楼,410,万,https://bj.lianjia.com/ershoufang/101106423411.html,农光里 2室1厅 410万
安贞西里 ,安贞,1室1厅 ,42.26,平米, 南 北 , 简装 , 低楼层(共6层) , 1984年建 , 板楼,325,万,https://bj.lianjia.com/ershoufang/101106423324.html,安贞西里 南北通透全明一居 二层 满五唯一
兴化路2号院 ,安贞,2室1厅 ,57.08,平米, 东南 , 其他 , 中楼层(共6层) , 1993年建 , 板楼,438,万,https://bj.lianjia.com/ershoufang/101106423132.html,兴化路2号院 2室1厅 438万
中铁花溪渡 ,马坡,3室1厅 ,92.09,平米, 南 北 , 精装 , 高楼层(共9层) , 2014年建 , 板楼,450,万,https://bj.lianjia.com/ershoufang/101106422882.html,花溪渡正规小三居户型 有车位 带储藏室
通达园 ,回龙观,5室1厅 ,191.94,平米, 南 北 , 精装 , 高楼层(共7层) , 2000年建 , 板楼,570,万,https://bj.lianjia.com/ershoufang/101106422755.html,满五唯一+带南北露台+精装修+中间位置
建欣苑五里 ,大红门,2室1厅 ,75.29,平米, 南 北 , 简装 , 高楼层(共6层) , 2004年建 , 板楼,396,万,https://bj.lianjia.com/ershoufang/101106422564.html,大红门 马家堡 洋桥 地铁口正规两居室 小板楼
知春里 ,双榆树,1室1厅 ,40.4,平米, 南 , 简装 , 低楼层(共6层) , 1984年建 , 板楼,470,万,https://bj.lianjia.com/ershoufang/101106422243.html,知春里 板楼中间层 小户型 房本满五年 家庭就这一套房
橡树湾 ,清河,2室1厅 ,100.69,平米, 南 , 其他 , 低楼层(共26层) , 2014年建 , 板塔结合,870,万,https://bj.lianjia.com/ershoufang/101106422121.html,橡树湾 2室1厅 870万
京通苑 ,管庄,3室2厅 ,106.22,平米, 西北 , 简装 , 中楼层(共18层) , 2000年建 , 塔楼,435,万,https://bj.lianjia.com/ershoufang/101106422119.html,诚售京通苑唯一电梯刷卡入户 公寓式管理 西北三居室
东花市北里西区 ,东花市,4室2厅 ,234.59,平米, 南 北 , 其他 , 低楼层(共10层) , 1995年建 , 板楼,1850,万,https://bj.lianjia.com/ershoufang/101106422111.html,东花市北里西区 4室2厅 1850万
冠英园小区 ,官园,3室1厅 ,114.6,平米, 南 北 , 其他 , 中楼层(共6层) , 1998年建 , 板楼,1400,万,https://bj.lianjia.com/ershoufang/101106422043.html,新街口 冠英园 南北通透 精装修 满五唯一
